,well,fov,label,nuc-intensity_mean,nuc-centroid-0,nuc-centroid-1,nuc-area,nuc-intensity_variance,nuc-intensity_median,nuc-intensity_percentiles-0,nuc-intensity_percentiles-1,nuc-intensity_percentiles-2,nuc-intensity_percentiles-3,3-intensity_mean,3-intensity_variance,3-intensity_median,3-intensity_percentiles-0,3-intensity_percentiles-1,3-intensity_percentiles-2,3-intensity_percentiles-3,4-intensity_mean,4-intensity_variance,4-intensity_median,4-intensity_percentiles-0,4-intensity_percentiles-1,4-intensity_percentiles-2,4-intensity_percentiles-3,cell-intensity_mean,cell-area,cell-axis_major_length,cell-axis_minor_length,cell-perimeter,cell-intensity_variance,cell-intensity_median,cell-intensity_percentiles-0,cell-intensity_percentiles-1,cell-intensity_percentiles-2,cell-intensity_percentiles-3,1-intensity_mean,1-intensity_variance,1-intensity_median,1-intensity_percentiles-0,1-intensity_percentiles-1,1-intensity_percentiles-2,1-intensity_percentiles-3
0,r05c18,9,1.0,6240.330261136713,41.98003072196621,560.6267281105991,651.0,1649950.1628169825,6266.0,4366.0,5416.5,7208.0,7844.0,3650.894163964799,2694231.0960243014,3674.5,1555.7,2310.5,4568.5,5957.3,2155.436776285317,1307327.2441500523,2053.5,954.7,1313.0,2593.5,3856.6,2020.94395553497,4318.0,139.41999686085975,50.13345334707594,403.6883835420683,618928.5535982491,1907.0,1125.0,1446.25,2591.0,2892.0,816.756368689208,26601.064775326784,781.0,651.0,704.0,879.0,1058.0
1,r05c18,9,2.0,7727.873076923077,49.64153846153846,328.1392307692308,1300.0,2454976.1461982247,7887.5,5578.6,6798.0,8809.75,9606.1,3700.186303221448,4642886.963263626,3011.0,1464.0,2035.25,5236.75,6760.800000000001,2153.3066005857177,2022389.423004416,1583.0,910.7,1136.0,2955.75,3956.0,2534.933543590899,8878.0,149.20684149140232,80.93529419111991,417.2152954766495,1046063.066545474,2172.0,1662.7,1887.0,2867.75,4124.3,802.4198017571525,19850.230502235987,764.0,656.0,694.0,889.0,985.0
2,r05c18,9,3.0,5270.612288135593,62.22987288135593,205.6377118644068,944.0,697585.4174761204,5299.5,4087.6,4879.25,5873.75,6286.7,3970.024850299402,2513485.5499812653,3955.0,2036.0,2813.0,4933.0,5993.299999999999,2333.5817365269463,1295067.17086405,2203.0,1178.0,1529.5,2850.5,3745.1,2295.0814371257484,3340.0,115.5550754070682,41.25820383419053,283.3980156401965,990598.6041464376,1912.0,1373.0,1605.75,3024.0,3466.1,968.3646706586826,44122.76941052028,939.0,759.0,824.0,1043.0,1216.0
3,r05c18,9,4.0,6178.027190332326,58.012084592145015,627.3338368580061,662.0,1342501.2953331936,6189.0,4605.4,5450.0,7034.75,7625.4,3971.835360149672,3237816.9451419264,3702.0,1941.0,2525.5,4993.0,6316.8,2261.5587776738384,1418326.5801903366,2105.0,1081.0,1339.0,2706.0,3829.2000000000007,2538.692235734331,3207.0,132.69102673264965,34.225636213852304,317.8477631085024,1924725.1204355063,2043.0,1409.0,1613.0,3374.5,3851.000000000001,945.6074212659806,35825.07537991078,921.0,744.0,799.0,1030.5,1207.0
4,r05c18,9,5.0,6824.408139534884,101.53255813953488,567.8744186046512,860.0,1746133.09970119,7039.0,4999.9,5830.0,7814.25,8384.1,4441.961414790997,8644937.583720185,3682.0,1130.5,1737.75,7234.0,8819.9,3470.131832797428,4650782.60962976,3040.0,907.3,1487.75,5519.0,6648.9,3467.5434083601285,622.0,29.70661968002016,26.927616459803364,92.66904755831212,4593569.826893849,2833.0,1087.2,1530.5,5341.75,6788.9,1591.90192926045,467874.0241441879,1449.0,769.0,960.0,2221.25,2620.9
5,r05c18,9,6.0,10250.743624161074,135.13691275167784,672.3476510067114,745.0,9238039.280580154,10334.0,6156.6,7887.0,12425.0,14292.4,4194.871645516954,5008665.580571101,3586.0,1700.8000000000002,2375.5,5722.5,7331.600000000002,2485.998543790306,2248294.1670459346,1879.0,1057.0,1298.0,3309.0,4778.0,2452.906386519659,4807.0,101.06176135524711,65.12248193577301,301.1198410471445,1970843.1337370367,1895.0,1405.6,1587.0,2818.0,4343.200000000002,1005.8273351362596,80677.52167425901,921.0,782.0,837.0,1096.0,1311.4000000000003
6,r05c18,9,7.0,7168.677272727273,138.7068181818182,223.54886363636365,880.0,1669557.2822107438,7396.5,5189.8,6465.75,8110.0,8608.2,4223.621792618629,2971845.4428994227,4069.0,2404.4,2765.0,5190.0,6704.599999999999,2590.5869947275924,1521935.154909949,2447.0,1303.0,1530.0,3254.0,4306.4,2761.306151142355,2845.0,84.63707580055444,45.30045949085341,246.4863273947651,1692694.8092591756,2154.0,1690.0,1840.0,3510.0,4403.6,835.7121265377856,13276.381452244092,832.0,695.0,740.0,915.0,991.0
7,r05c18,9,8.0,6601.322121604139,144.97800776196635,170.77749029754204,773.0,1392748.1847240883,6758.0,4837.0,5970.0,7374.0,7953.0,4820.333153250495,16743986.086019536,3229.0,1452.0,2107.0,6254.0,10822.8,2959.71384837025,7314236.841762122,1744.0,877.0,1174.0,4041.0,6853.600000000001,2614.981631550513,5553.0,120.60816717045624,61.55222098622325,321.048773235279,4726478.285634148,1966.0,1370.2,1659.0,2563.0,4580.8,1064.5996758508911,108425.18874111588,930.0,774.0,829.0,1212.0,1592.8000000000002
8,r05c18,9,9.0,7734.311656441718,149.33128834355827,620.2711656441718,815.0,2383161.5593119804,7847.0,5688.2,6776.0,8754.0,9647.8,4105.777697495183,3313287.416140364,3837.5,1885.6,2621.5,5407.25,6498.0,2438.9568882466283,1456245.327861993,2108.5,1167.1,1412.0,3270.0,4064.8,2458.977119460501,4152.0,100.89360793928172,56.63259862125325,283.86500705120545,988812.3494283112,2078.0,1618.1,1833.0,2913.0,3832.0,868.2803468208092,32075.196935525182,822.0,688.0,733.0,962.0,1093.0
9,r05c18,9,10.0,5951.261463414634,157.02048780487806,59.48975609756098,1025.0,1868781.0243198096,6040.0,3975.8,5119.0,6891.0,7694.8,4188.361414663223,5325848.861431894,3790.0,1475.0,2280.0,5651.0,7334.200000000001,2432.0600039737733,2469390.5288851187,1876.0,972.0,1355.0,3113.0,4493.8,2440.6705742102126,5033.0,139.52484164099073,51.99267670259535,357.1381310103742,1492044.8698215857,2028.0,1446.0,1726.0,2660.0,4074.8,1007.575402344526,59905.13285015106,926.0,801.0,846.0,1094.0,1308.0
10,r05c18,9,11.0,5641.44430992736,162.16949152542372,134.58353510895884,826.0,978133.89338772,5814.5,4054.0,5092.75,6342.0,6843.0,16650.340766152087,154201545.70549077,15128.0,1983.6,3678.0,29469.0,31783.8,8719.508290451688,31280764.15273287,9271.0,1468.8000000000002,3044.0,13736.0,15913.6,6903.229273870783,1749.0,52.06127357858588,42.83176958878032,157.19595949289334,13221934.469446072,7561.0,2093.0,3089.0,10115.0,11399.4,2018.5563178959403,801429.0575772941,2033.0,932.8,1100.0,2812.0,3187.0
11,r05c18,9,12.0,8266.032024793389,197.20454545454547,319.0671487603305,968.0,2442065.30785871,8416.5,5981.1,7349.75,9405.5,10103.600000000002,4667.566422861031,5485456.627625765,4688.0,1699.8000000000002,2705.0,6257.5,7527.599999999999,2899.610307875489,2383365.08491501,2934.0,1078.0,1661.5,3762.0,4640.2,2899.401258717469,5879.0,169.00552948084675,47.58850828332837,414.0315292925759,1356812.0531435085,2467.0,1786.0,2039.0,3800.0,4198.0,922.7288654533083,23298.10848979972,925.0,732.0,798.0,1028.0,1112.0
12,r05c18,9,13.0,7778.221698113208,210.86118598382748,229.48045822102424,1484.0,2792473.4286127496,7924.5,5524.0,6718.5,8786.75,9774.7,4005.551473823141,4495886.488441515,3700.0,1647.0,2353.0,5178.75,6657.0,2555.889133304004,2768905.9287556503,2219.0,1015.5,1312.25,3257.5,4535.5,2157.4122305323363,4546.0,122.36775698709182,50.49706084344399,345.16756826189703,883539.4754685397,1814.5,1397.5,1560.0,2684.0,3288.0,795.3304003519578,32067.40953336369,750.0,635.0,674.0,857.0,1002.0
13,r05c18,9,14.0,6640.003562945368,203.3705463182898,90.03444180522565,842.0,1430506.324215334,6810.5,4852.5,5972.5,7521.0,8015.4,3796.196221411999,2372049.4106188016,3618.0,2114.8,2552.0,4645.0,5844.0,2464.7451110374545,1346645.407023662,2290.0,1242.4,1599.0,2969.0,3996.200000000001,2617.399071925754,3017.0,70.39694906889069,56.60501097883528,222.9777054234136,1279580.1708708657,2122.0,1678.0,1816.0,3196.0,4202.200000000001,799.871063970832,11194.976083488453,795.0,668.0,711.0,871.0,943.0
14,r05c18,9,15.0,5578.733333333334,206.2709677419355,8.627956989247313,465.0,1770871.6149103944,5573.0,3673.8000000000006,4582.0,6724.0,7337.2,4790.29296803653,7923656.627594387,4333.0,1520.0,2565.5,6466.0,8561.2,2943.228127853881,5003813.84768371,2294.0,950.4,1378.0,3828.5,5707.200000000001,2924.332785388128,5475.0,105.38289095840574,76.81876419443175,378.67009357883865,2851472.753546123,2281.0,1489.0,1861.0,3847.0,5157.0,1095.3961643835617,91903.4848802652,1000.0,814.0,877.0,1219.0,1496.6000000000004
15,r05c18,9,16.0,6378.526205450734,233.167714884696,159.75786163522014,954.0,1397369.559585811,6513.0,4722.7,5665.25,7181.75,7869.300000000001,11663.829963235294,94803646.92053604,8432.0,1586.6,2769.25,20839.0,26968.3,6093.360294117647,25196817.434526384,4456.0,842.4000000000001,1498.0,10637.25,13960.900000000003,7505.3125,1088.0,49.360676021208775,28.58189572031839,134.36753236814712,33184749.34352022,5264.0,1595.5,2365.75,13110.25,16217.2,1453.9503676470588,323807.55268368835,1258.0,876.0,955.0,1936.0,2334.0
16,r05c18,9,17.0,6317.888734353269,236.60639777468705,30.40472878998609,719.0,1942434.4271192604,6502.0,4198.2,5385.0,7317.5,7985.200000000001,4063.3125422202206,2876341.633909344,3687.0,2207.0,2713.0,5051.0,6552.0,2540.4039630713805,1890258.616367991,2170.0,1210.0,1481.0,3154.0,4477.0,2440.157622157172,4441.0,109.16492669617374,55.89930275645042,325.9482681718907,809306.6421221548,2164.0,1637.0,1851.0,2781.0,3610.0,787.0995271335285,19690.26525760121,752.0,648.0,689.0,851.0,954.0
17,r05c18,9,18.0,9123.557411273488,282.6169102296451,273.7087682672234,958.0,3206646.733134009,9205.0,6683.5,8159.0,10237.25,11061.4,4785.441197691198,3547233.739327281,4849.0,2359.1,3189.75,5920.0,7253.700000000001,3002.5487012987014,2091856.2743237093,2933.0,1212.0,1731.25,3811.75,4877.9,2961.7705627705627,2772.0,76.80064117647379,46.79050970511624,215.55129855222071,1501385.5765071867,2551.0,1863.2,2071.75,3542.25,4184.9,899.9368686868687,30319.843417034703,900.0,686.0,761.75,989.0,1106.9
18,r05c18,9,19.0,7443.692972972973,283.34054054054053,218.44864864864863,925.0,2106267.1295181885,7570.0,5274.4,6622.0,8599.0,9122.4,4029.9305699481865,897866.8521742865,3853.0,3087.8,3413.0,4495.0,5314.6,2317.419689119171,536350.8673843592,2126.0,1810.2,1942.0,2439.0,3195.200000000001,2528.39792746114,965.0,49.09455979599026,26.575564559022524,129.9827560572969,555833.7939853419,2496.0,1689.2,1973.0,2945.0,3283.0,755.6704663212436,5226.36187387581,744.0,671.0,706.0,795.0,858.6
19,r05c18,9,20.0,7489.639285714285,306.4241071428572,81.31607142857143,1120.0,1826745.8966709184,7727.5,5483.9,6766.5,8471.0,9016.0,5154.453024075162,6783160.889014637,5471.0,1532.5,2869.25,6967.75,8655.5,3038.8000587199062,3002232.181103931,2972.5,998.0,1621.0,3887.75,5486.0,2865.9174985320024,3406.0,116.44001171207913,40.912439287371136,278.651803615609,1994329.1015317345,2440.0,1542.5,1892.25,3710.75,4203.5,1068.147386964181,52688.502058644735,1052.0,809.0,893.0,1170.0,1355.5
20,r05c18,9,21.0,4893.597315436242,301.5973154362416,2.61744966442953,149.0,1070949.4217377596,5045.0,3404.0,4018.0,5788.0,6096.0,3901.7882919005615,2294606.170897404,3864.5,1984.9,2830.0,4566.75,5760.300000000005,2641.332397754611,2001550.2892711551,2314.0,1311.0,1794.0,2998.25,4252.200000000002,2460.364875701684,2494.0,61.88990502033852,54.0354377364018,208.16652224137044,1168496.7586058988,2105.5,1573.3,1775.25,2899.75,3500.7000000000003,750.1756214915798,9806.775893258497,748.0,613.0,690.0,810.0,875.0
21,r05c18,9,22.0,8209.425343811396,325.39390962671905,222.58742632612967,1018.0,2460777.0125993416,8478.0,5855.1,7404.75,9152.0,10110.9,4368.224358974359,5253831.725304076,3779.0,2153.0,2751.0,5352.0,7385.0,2704.731169871795,3909853.12204126,1956.5,1230.0,1457.75,3141.5,5317.5,2385.568108974359,2496.0,76.70148431070291,42.254982681546615,212.1370849898476,157450.24776501374,2334.0,1947.0,2143.75,2612.25,2896.5,969.1927083333334,23124.51053978032,944.0,791.0,858.0,1058.0,1189.0
22,r05c18,9,23.0,10017.375360923965,349.82194417709337,168.9432146294514,1039.0,4860669.056409278,10305.0,6625.400000000001,8740.5,11645.0,12675.8,10561.709401709402,24403278.035210747,10136.0,4660.3,6340.0,13809.0,17459.8,6182.58547008547,10502967.44782307,6222.0,1623.1,3454.75,8578.25,10741.5,3049.5982905982905,234.0,43.48076243083662,7.071964137784844,89.84062043356595,932383.6335013516,3113.5,1787.0,2224.75,3697.25,4232.0,1197.5042735042734,38443.061947549126,1201.0,925.6,1047.5,1345.25,1464.4
23,r05c18,9,24.0,6540.493175614195,387.9808917197452,106.73703366696998,1099.0,1766489.674885184,6831.0,4528.0,5628.0,7577.5,8096.200000000001,4002.413322502031,3439172.9774991963,3780.0,1689.0,2395.5,5479.0,6518.6,2298.600974817222,1511589.01738329,2040.0,976.0,1286.5,3070.0,4051.6,2324.811372867587,6155.0,137.09585577977057,63.27403832576241,366.0071426749364,1027117.3101549796,2008.0,1468.0,1690.0,2636.5,3624.6,807.9592201462226,14110.7195392781,792.0,666.0,721.0,882.0,962.0
24,r05c18,9,25.0,6268.379888268157,376.5776536312849,15.781005586592178,895.0,1948376.0992603227,6354.0,4238.8,5402.5,7159.5,8143.8,6438.32474701012,2790869.231245911,6165.0,4436.6,5145.5,7699.25,8712.4,3781.5289788408463,2058170.8452963813,3607.5,1862.3,2805.5,4777.75,5645.8,3662.78748850046,2174.0,81.34770404271384,36.56597985685786,212.80003589374985,1667856.292465357,3641.5,2283.0,2537.75,4350.75,5327.5,1133.8463661453543,39083.93315836824,1080.0,934.0,990.0,1234.75,1423.7
25,r05c18,9,26.0,10270.342,393.311,371.834,1000.0,4116172.161036,10560.0,7412.2,9034.5,11589.75,12698.1,2964.021995112197,5940549.821111416,2219.0,1299.0,1714.0,2895.0,5728.0,1733.4870028882472,3927385.693065912,1081.0,776.0,899.0,1409.0,3401.0,1891.6949566762944,4501.0,94.1176038522209,65.5823197057826,288.1665222413705,1337138.6718896946,1606.0,1332.0,1469.0,1748.0,2433.0,705.3359253499223,25519.575667822905,657.0,588.0,618.0,712.0,894.0
